DOMAIN                                                                                              IP ADDRESS
es-2.it.tuwien.ac.at                                                                                No IP, maybe it is down or unreachable
www.es-2.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
es-3.it.tuwien.ac.at                                                                                No IP, maybe it is down or unreachable
www.es-3.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
es-admin.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
www.es-admin.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
es-fleet.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
fleet.it.tuwien.ac.at                                                                               No IP, maybe it is down or unreachable
harbor.it.tuwien.ac.at                                                                              No IP, maybe it is down or unreachable
www.harbor.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
idm.it.tuwien.ac.at                                                                                 No IP, maybe it is down or unreachable
admin.idm.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
admin-i.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
apigw.idm.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
db.idm.it.tuwien.ac.at                                                                              No IP, maybe it is down or unreachable
db-d.idm.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
db-d-i.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
db-i.idm.it.tuwien.ac.at                                                                            No IP, maybe it is down or unreachable
idp-c-1.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
idp-c-1-i.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
idp-d-1.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
idp-d-1-i.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
loader.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
loader-i.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
login-i.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
www.login-i.idm.it.tuwien.ac.at                                                                     No IP, maybe it is down or unreachable
logman.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
logman-i.idm.it.tuwien.ac.at                                                                        No IP, maybe it is down or unreachable
netiq-b.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
netiq-b-i.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
netiq-c.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
netiq-c-i.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
netiq-d.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
netiq-d-i.idm.it.tuwien.ac.at                                                                       No IP, maybe it is down or unreachable
qapigw.idm.it.tuwien.ac.at                                                                          No IP, maybe it is down or unreachable
qdb.idm.it.tuwien.ac.at                                                                             No IP, maybe it is down or unreachable
qdb-c.idm.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
qdb-c-i.idm.it.tuwien.ac.at                                                                         No IP, maybe it is down or unreachable
qdb-d.idm.it.tuwien.ac.at                                                                           No IP, maybe it is down or unreachable
